Video Time,Commenter,Time,Comment
,Satib Tv,,আমার পুটকিমারার মেসি রোনালদো ও রিবেরি আমার বাংলাদেশ ৭টা গাইভে আমার মা
,Omar Faruk,,জামাত ইসলাম জিন্দাবাদ
,ANISUR RAHMAN,,ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া
,Fazlul kabir mamun,,জামায়াত
,Sheakh Rashed,,আউটসোর্সিং চাকরি রাজস্ব খাতে নেয়া হক
,Jason Abid,,দেশের দ্রব্যমূল্যর ঊর্ধগতি
,Islamic video97,,ফারুকির পদত্যাগ চাই
,Abdul Alim,,আলহামদুলিল্লাহ্
,Ikhtiar Uddin Badhon,,শিবির
,হাসিখুশি,,আল্লাহ আকবার
,Md.Moniruzzaman Monir,,শিবির
,Rh Hridoy,,v
,Ayesa Akter,,অযোগ্য উপদেষ্টাদের পদত্যাগ চাই উপদেষ্টা পরিশোধে বিপ্লবি নেতৃত্ব চাই
,MD Samun,,মাহতাব স্যার এবং সাংবাদিক ইলিয়াস হোসেনকে উপদেষ্টা বানানো হোক
,Hina Khan,,আমরা আপনার পাশে আছি স্যার
,MD:Juyel Islam,,"লাইভ তো স্লো, নেট সমস্যা"
,Rahmatullah,,উপদেষ্টা নিয়োগে কারা আপনাকে পরামর্শ দেয় । অভ্যুত্থানের চেতনা বিরোধী লোকেরা কিভাবে উপদেষ্টা হিসাবে নিয়োগপ্রাপ্ত হয় ? চুপ্পু কেন এখনও প্রেসিডেন্ট ? এক বিভাগ থেকে কেন এতগুলো উপদেষ্টা নয়োগ দিলেন ?
,Mohammed Hossain,,"price of product is high. peoples are suffering. govt office still dont work without bribe. specially Lalkuthi AC land office, pls. look into this"
,Ekram Serniabat,,সংস্কার নামে দীর্ঘমেয়াদ ক্ষমতায় থাকার ইচ্ছা জনগণই ক্ষমতার উৎস দ্রুত নির্বাচন দেন।
,Md Shabuddin,,35 age koren
,Islamic video97,,জামায়াত ইসলামি জিন্দাবাদ
,Azizur Azizur,,"আপনাদেরকে মনে রাখতে হবে, রক্ত দিয়ে এই দেশ করা হয়েছে জীবন দিয়ে আপনারা যে চেয়ারটাতে বসেছেন এটা বিপ্লবী চেয়ার মনে রাখতে হবে"
,Akimul islam,,
,UNIQE LEVEL EDIT,,boycott faruki
,Ms Mahfuza,,আগে দেশ থেকে সনত্রাশ দূর করুন
,Belal Hossain (বেলাল হোসাইন),,"Pinaki Bhattacharya - পিনাকী ভট্টাচার্য কে স্বাস্থ্য উপদেষ্টা। Asif Mahtab Utsha কে শিক্ষা উপদেষ্টা, Md Elias Hossain কে তথ্য ও সম্প্রসারণ উপদেষ্টা, হিসেবে নিয়োগ দেওয়া সরকারের একান্ত প্রয়োজন।"
,Bikas Das,,ভাই তুমি দেশটাকে বেচতে চাইছ।
,Towasin Islam,,শিবির
,Md Shabuddin,,35
,Abdul Ukil,,বাংলাদেশ জামাত ইসলাম জিন্দাবাদ
,SA SABBIR,,আমেরিকার এজেন্ট
,Dinajpur Sports Mania,,"আসিফ নজরুল, ফারুকি পদত্যাগ চাই। উপদেষ্টা হিসেবে দেখতে চাই পিনাকী ভট্টাচার্য, কনোক সারওয়ার, ইলিয়াস হোসেন দেখতে চাই"
,MdRubel Sk,,অনেক ধন্যবাদ স্যার
,ANISUR RAHMAN,,জুয়া খেলা চলছে
,iftekharul alam,,উপদেষ্টা নিয়োগে আরো বেশী সতর্ক হওয়া উচিত। কোন ভাবেই ফ্যাসিবাদের দোসররা যেন সুযোগ না পায়।
,Majedul Islam,,"আন্দোলে আহতরা চিকিৎসা পায়নি, শহীদ পরিবার সাহায্য পায় নি, দেশের সিন্ডিকেট ভাঙে নাই, দ্রবয়মুল্যের উর্ধগতি হচ্ছে, অপরাধীরা সাস্তী পায়নি, এখনো নতুন পদে দায়িত্ব পেয়ে ইচ্ছেমত ঘুষ চাচ্ছে, আরো অনেক কিছু আছে"
,tayabur rahman,,"আগে সংস্কার, সংস্কার, সংস্কার"
,rasel mia,,নেয় পাল গঠন করা হউক
,Ruji Akter,,বাজার মূল্য নিয়ন্ত্রণ করুণ
,adv.firoz alam,,ফারুকী উপদেষ্টা হ কিভাবে? তাকে সরাতে হবে।
,Shirin Akter,,আমরা আপনার পাশেই আছে
,shahin talukdar,,ডা ইউনুস সাহেব আর কি ভাসন দেবেন এদিকে গরিব মানুষ না খেয়ে মরে যাক তাতে উপদেষ্টা ও ডা ইউনুস কি আসে যায় এর জন্য পুরো দায় সেনাপ্রধান ও সেনাবাহিনী নিতে হবে সেনাপ্রধান বাংলা দেশের যা খতি করেছেন সেই খতি পুরন
,Amir Ali,,শিবির
,Md.Rafiqul Islam,,আপনার সংস্কার দীর্ঘ মেয়াদি। হাসিনা দিত উন্নয়নের বয়ান। আর আপনি দিচ্ছেন সংস্কারের বয়ান
,MEEM IVEE,,অসাধারণ ডেলিভারি ভাষণ শুনেই বুঝা যায়।
,Virtuous,,আপনার সুস্বাস্থ্য কামনা করি। আগে সংস্কার পরে নির্বাচন এই অনুরোধ রইল।
,Jason Abid,,আপনারা কি করেছেন যেটা জনগণের উপকার হয়
,faisal hasan,,স্যার দয়া করে বাংলাদেশের সামরিক শক্তি বাড়ান।
,Saga Sports,,আওয়ামী লীগ দেখেছি বিএনপিও দেখেছি এবার চাই জামাত ইসলামকে আওয়ামী লীগ দেখেছি বিএনপিও দেখেছি এবার চাই জামাত ইসলামকে আওয়ামী লীগ দেখেছি বিএনপিও দেখেছি এবার চাই জামাত ইসলামকে
,sunflower,,"Remove Army Cheif, Faruki, Bashir"
,Nowab Ashrafi,,আমরা সাধারণ মানুষ খুব কষ্টে আছি
,Md:Rashed Khan,,আসসালামু আলাইকুম ওয়া রাহমাতুল্লাহ আপনাকে অসংখ্য ধন্যবাদ আমি সাধারণ মানুষ হিসাবে আপনার কাছে একটা অনুরোধ রইল মানুষের সাধারণ খাবারের পণ্য অনেক দাম অনেক মূল্য একটু কমানোর জন্য অনুরোধ রইল
,Somaj sarkar,,afsoooooooooooos League
,Dinajpur Sports Mania,,"আসিফ নজরুল, ফারুকি পদত্যাগ চাই। উপদেষ্টা হিসেবে দেখতে চাই পিনাকী ভট্টাচার্য, কনোক সারওয়ার, ইলিয়াস হোসেন দেখতে"
,mahfuzislam rasel,,জামাত
,Setu Kumar,,খোব নেই
,Emon,,love you sir
,Huuf Vghhg,,জামায়ত ইসলাম
,Log In,,GOOD
,Md rifat Shikder,,class 9
,Dr. Farhad Hossain sarker,,"welcome, go ahead"
,Arman Hossin,,ইউনুস সরকার ব্যার্থ জনগন আপনাকে চায় না
,Tahidur Rahman Juell,,জামায়াত
,Kawsar Ahamed,,সিন্ডিকেট ভাঙ্গো
,atiqur rahman,,আমরা আছি আপনার সাথে
,Nafis Mustahsin,,খুনি হাসিনার বিচার চাই
,Md Awolad,,
,Muhibul Islam,,সার সরকারি বে কমান দামি গাড়ি বাড়ি বাদ দেন
,modina laibary,,শিক্ষা কমিশন গঠন করতে হবে।
,Md.jewel Rana,,৩৫ চাই
,Kazi Azad,,নির্বাচন চাই অনেক দিন ভোট দিতে পারিনাই
,Mahia Akter,,আগে সংস্কার পরে নিবার্চন।
,Naeem Fokir,,"আগে উপদেষ্টা থেকে বুইড়া কাকা দের সরিয়ে,,, তরুণ দের নিয়োগ দিন।"
,MD shohidul islam Bokul,,কৃষিতে যে ভূরতিকি দেয়া হয় তা না দিয়ে কৃষি পন্নোর দাম কমাতে পারলে সুবিধা পাবে সকলে পাবে।এই ভূরতুকি চেয়ারম্যান / মেমবরের পছন্দের মানুষের কাছে যায়।ছোট্ট /বড় সব চেয়ার পরিবর্তন। গেরাম থেকে শহর সব সংশকার
,RK,,স্যার কোন দল করার অভিযোগে অভিযুক্ত এমন ব্যক্তিকে দয়া করে উপদেষ্টা করবেন না
,MD:Juyel Islam,,দেশের নেটওয়ার্ক সংস্কার করা দরকার
,Jubaer Islam,,
,Sanjay Roy,,গ্রামীন ব্যাংকের সকল আয় করমুক্ত কেন?
,mizanur rahman,,35
,Mahiya Sultana,,হাসু আপার পদত্যাগ চাই
,Saykat Ahmed,,সরকার গঠন করেন স্যার তাড়াতাড়ি তা না হলে দেশ আবার আগের মতই হবে
,"Rehman, Md. Atikur",,apnara biplobi sorkar gothon kore aro 5 years thakun...age soskar pore election
,Sadikur Rahman,,just wow beautiful
,Saiful Sarker,,পিনাকি দাদা সাংবাদিক মাহমুদুর রহমান স্যার এবং আসিফ মাহাদ আর কে উপদেষ্টা হিসেবে দেখতে চাই।
,gazi zahed,,মহাজন আপনি শতভাগ ব্যর্থ হয়েছেন।মনে রাখবেন বাংলাদেশ পাকিস্তান হবে এটা ভুলে যান
,Md.Moniruzzaman Monir,,জামায়াত
,Joyjatra Academic Care,,সকল ধর্মের ধর্মীয় মূল্যবোধ ভিত্তিক মানবতার একমাত্র রাজনীতি “ইনসানিয়াত বিপ্লব বাংলাদেশ” জিন্দাবাদ।
,Morol,,৩২
,foyzunnoor,,ইলিয়াস ও পিনাকীদাকে উপদেষ্টা হিসাবে দেখতে চাই
,Jony Ahmed,,রাজনৈতিক সংকট থেকে বাঁচান ডাঃ ইউনুস স্যার আমরা আর জলুম খুন ঘুম জমি বি এস রেকট দারা এই দেশে বংশো গত মানুষ সমাজে ছোট হয়ে গেছে আপনি B Sরেকট ভুল গুলা সমাধান করে দিবেন এইটা দাবি
,Daud Islamic Tunes,,ফারুকি
,Numan Ahmed,,দ্রব্যমূল্য দ্রুত নিয়ন্ত্রণে নিয়ে আসুন ও উপদেষ্টা পরিষদ বদলান বর্তমানে এটাই চাওয়া
,Bappy Deb,,"স্যার এখনো সময় আছে আপনি আপনার মান সম্মান নিয়ে আপনার জায়গায় চলে যান - নয়তু আপনাকে ওরা বেইজ্জত করে ছাড়বে,,,"
,Md Nirob,,জামায়াতে ইসলামী জিন্দাবাদ
,࿐shamim ࿐ Sami,,Right
,Amir Hossain,,ইসলাম ক্ষতি হয় এমন কার্যকলাপ থেকে দুরে থাকুন
,MD SHAHAD,,ওনাকে ৫ বছর চাই আমার
,MD NAEEM,,৫ বছর চাই
,Md. Firoz Kabir,,জামাত মুক্ত প্রশাসন থাকলে আপনি নিশ্চিত ভাবে থাকতে পারবেন
,Abdus sattar,,আগে সংস্কার পরে নির্বাচন
,Md Almanun,,
,Jaber Uddin,,জামাত জিন্দাবাদ
,Dr Lucifer,,আমাদের জো বাইডেন
,Team riyad*,,যারা জয় বাংলা করতেসে তারা মুদির পুলা
,tayabur rahman,,জামাত চায়
,MD Mahadur,,সুস্থ নির্বাচন চাই
,Noor Miah,,
,kamrul Farrukh,,আমরা আপনাকে এটলিস্ট ৩ বৎসর দেখতে চাই।
,চিরকুট,,দেখলে জুতার বারি দিতে মন চাই
,Around My Village,,ফারুকী কে আউট করেন
,Nafis Mustahsin,,হাসিনা ্্্
,Md Belal Mia,,অনলাইন জুয়া বন্ধ চাই
,Mohammad Ibrahim,,জারজ হাসুর বিচার চাই
,Rashed 24,,দুর্নীতি মুক্ত দেশ চাই
,Faruk mia,,নোয়াখালীর বাঁশির পক্ষ থেকে ধন্যবাদ
,Ariana Rashid,,পিনাকী ভট্টাচার্যের পরামর্শ অনুযায়ী আহতদের চিকিৎসার ব্যবস্থা করা উচিৎ
,Mukter Hossain,,জামায়াতে ইসলামী জিন্দাবাদ
,Omuacat,,ইউনূস স্যার
,Satib Tv,,আমার প্রাণের মানুষ আছে যারা এর আমার মা হাসিনার জয় হবে তাইনা বন্ধুরা আমার বাংলাদেশ ৭টা
,Sheikh Mubashwir,,জনগণ সংস্কার চায়। জন চোররা নির্বাচন চায়।
,Kamrunnaher Keya,,"খুনি হাসিনার বিচার চাই।শিক্ষা সংস্কার চাই,বিচার বিভাগ সংস্কার চাই।"
,it's Farhan,,বাংলাদেশ জিন্দাবাদ
,Masud Rana,,dinajpur bivag chai
,MD. SHAKIB HOSSEN,,KHUNI HASINAR JAIL CHAI
,Jason Abid,,"কথা শুনতে চান, আর বললে চাকরী থাকেনা! মিথ্যা বাদ দেন স্যার"
,Mustaque Hussain,,মানুষের আসল প্রয়োজন নিত্য প্রয়োজনীয় জিনিসের দাম কমানো আপনি সেদিকে কঠিনভাবে ব্যবস্থা গ্রহণ করেন।
,Alamin Op 06,,- গোপালগঞ্জ আলাদা দেশ চাই
,md.moznu mian,,বাংলাদেশের সরকার হিসাবে ডাঃ ইউনুস কেই দেখতে চাই
,NASIR UDDIN,,শেয়ার বাজারের জালিমদের বিচার করুন।
,Md Kaowsar Akand Sanmania up Digital Center,,Amin
,Habib Hasan,,নাট্যকার ফারুকী আজম কে অপসারণ চাই করতে হবে
,MD:Juyel Islam,,"নেটওয়ার্ক কার্যক্রম ভালো না, স্লো"
,ANISUR RAHMAN,,হির আলোম কে উপদেষ্টা করা হোক
,Md Sadin,,আপনারা আরো ৫ বছর থাকেন
,Rasel Ahmed,,৩ বছর বিপ্লবী সরকার চাই
,Asit Kumer new blog,,মাধ্যমিক বিদ্যালয় জাতীয় করন করতে হবে।
,snsj investments,,
,Mamun Howlader,,নারায়ণগঞ্জ থেকে
,Md Emon,,আরো ৫ বছর পরিচালনা করুন।
,yeasif khan,,পিনাকি ও ইলিয়াসকে উপদেষ্টা হিসেবে দেখতে চাই
,it's Farhan,,জমুনা
,ATM Jahangir Alam,,আচছালামু আলাইকুম আল্লাহর আইন কায়েম করার জন্য আবেদন করছি ঘুম
,Mokul Hossain,,তারেক রহমানকে ফিরে আনা হোক
,Md Apon,,
,Md Salauddin,,Alhamdulillah
,Shadman shoumik,,umm..a
,MD Santo,,জয় বাংলা জয় বঙ্গবন্ধু
,সৌদি প্রবাসি,,সালাম আপনারে
,Martin Lither,,right
,Setu islam,,
,Faruk mia,,আমার মনের ভালবাসা টুকু আপনার জন্য
,Bushra Oishy,,সরকার প্রধান হিসেবে আপনাকে দেখতে চাই কারণ আপনি একমাত্র ব্যক্তি যিনি সঠিকভাবে আমাদের দেশকে এবং জনগণকে পরিচালনা করতে পারবেন।
,Kawsar Ahamed,,দালালি ছাড়া বিদেশ যেতে চাই
,Selina Selina akter,,তোকে আমরা দেখতে চাই না
,ইতিহাসকে নিয়ে খেলা,,
,Abul Hasem,,tnk u
,MD:Juyel Islam,,দেশের নেটওয়ার্ক ভালো না
,MD. SHAKIB HOSSEN,,KHUNI HASINAR JAIL CHAIKHUNI HASINAR JAIL CHAIKHUNI HASINAR JAIL CHAIKHUNI HASINAR JAIL CHAI
,Shadman shoumik,,hi
,Ashikur Rahman,,নোয়াখালী বিভাগ চাই
,Hamidur Rahoman,,ফারুকির পদত্যাগ চাই
,Martin Lither,,correct
,Enter World,,"আগামী ১০ বছরের জন্য ইউনুস সরকার চাই,দেশের উন্নতির জন্য এর কোন বিকল্প নেই!!!"
,MasudBillah,,এখন ছোরি পরে বসে থাকি
,Somaj sarkar,,Dr Younus
,KAMRUL HASAN,,জামায়াতে ইসলামী জিন্দাবাদ
,MD Al Amin,,ফারুকীর পদত্যাগ চাই
,Sahadat Hossan,,পুলিশ ও আওয়ামী লীগ নেতাদের যারা হত্যা করছে তাদের বিচাররে আওতায় আনা হবে।
,Akil Mahamud Shihab,,"আমরা মধ্যবিত্ত পরিবার কাউকে গিয়ে বলতে পারি না, কারো থেকে কিছু খুজতে ও পারি না তাই দ্রুত দ্রব্যমুল্য কে নিয়ন্ত্রণ করুন যেনো আমরা আমাদের দেশে খেয়ে বেচে থাকতে পারি।"
,Nafis Mustahsin,,হাসিনা র বিচার চাই
,Sydul Islam,,
,হাসিখুশি,,পিনাকীয় কে উপদেষ্টা বানান
,Al Falah sttell,,ফারুক বশির আসিফ নজরুল কে বিধায় করুন
,Muhammad Alamgir,,"awesome ko dhanyvad, your decision very nice and very good Allah Apna shuye Ho Amin."
,Mohammed Iqbal,,Great leader our Bangladesh yunos
,Forid Islam,,খুব সুন্দর কথা বলছেন স্যার
,Martin Lither,,বাংলাদেশকে পরাশক্তি করুন স্যার
,Md Daniat,,আপনি অতি তাড়াতাড়ি নির্বাচন দেন
,Md. Maruf,,আপনি কি কি সংস্কার করবেন ??? কতদিন সংস্কার করবেন
,Abdul Ukil,,ইনশাআল্লাহ এবার জামাত জামাত ইসলাম বাংলাদেশ
,ashraf bhuiyan,,৫৩ বছরে সংবিধান এর দোহাই দিয়ে মাফিয়া তৈরি করেছে এই সংবিধান বাদ দেন প্রয়োজনে এটার উপর ভোট করুন
,King maker,,ab bahar nikal....
,Md. Rabiul Islam,,khuni Hasinar fasi chai
,Mahfujur Rahman,,apni 5 years thakun
,Riyaz Chowdhury,,ধন্যবাদ
,mdhamidul,,বিএপপিকে বারাবারি করতে নিষেধ করেন
,Md Rony Hossen,,জামায়াত শিবির জিন্দাবাদ
,আমার দেশ 24,,৫ বছর আপনাদের চাই
,Bushra Oishy,,আমরা দেশের এখনো অধিকাংশ জনগণই বিশ্বাস করি যে আপনি যে সিদ্ধান্ত নেন তা দেশের জন্য সঠিক এবং দূরদর্শী কিছু ভেবেই নেন তাই আমরা আপনার পাশে আছি।
,Somaj Hossain,,ন্যায় বিচার নিশ্চিত করুন
,Saga Sports,,জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম জামাত ইসলাম
,new dubbing Bangla 0.9,,
,sm amran,,আসিফ নজরুলের পদত্যাগ চাই
,HMSumon,,"নির্বাচন চাই,,, লীগের উপদেষ্টা বাদ চাই"
,Islamic Topic,,ফারুকী কে উপদেষ্টা থেকে ঝাড়ু দিয়ে বিদায় করেন
,Nazneen Sultana,,সুন্দর কথা। আর দেশ চালানো এক না
,MD Shahadat Hossain,,জামায়াতে ইসলামকে ক্ষমতায় চাই
,Asia Refrigeration,,আরে ব্যাটা ফারুকিরে কিভাবে উপদেষ্টা বানাও
,Akimul islam,,ইউনুস স্যার
,MD Shahadat Hossain,,জামায়াত
,Tipu Sultan,,ফারুকী কে কিছু করেন
,Joshim Uddin Shanto,,"আপনাদের কার্যক্রম গুলো সাপ্তাহিক ধারাবাহিক প্রচার করুন, মানুষ জানে না আপনারা কি কি করছেন, কি কি কাজ হাতে নিয়েছেন, মানুষের কাছে কাজ গুলো দৃশ্যমান করুন"
,Noman Khan,,এই ইসকন ভারতের এজেন্ট 'র' নিয়ন্ত্রণ করে
,Mohammed Shresto,,
,Milon Silam,,খূনি হাসিনার বিচার চাই।।।।
,Jr ashik,,ইউরোপীয় এম্ব্যাসি ঢাকায় চাই
,golam murtaza,,সিন্ডিকেট ভাংতে পারেননি৷ দ্রব্যমূল্য কামাতে পারেননি। এটাই জনগণের সবচেয়ে বড় প্রত্যাশা ছিলো।
,Razzak Miah,,5 years
,Rumana aktar,,"বিতর্কিত উপদেষ্টাদের বাদ দিন,উপযুক্ত ব্যক্তিদের দায়িত্বে নিয়ে আসুন যাদের দেশ প্রেম আছে,আশা করছি কমেন্ট গুলো পড়বেন।"
,badal barai,,সরকারি কর্মচারীদের প্রানের চাওয়া ৯ম পে-স্কেলের প্রশ্নে অন্তবর্তীকালিন সরকারও কী আওয়ামীলীগের পথেই হাটছে??????
,Faysal Rahman,,রাস্ট্র কাঠামো ঠিক না হওয়া পরজন্ত কোনো নির্বাচন নয়।আপনি আন্তর্জাতিক মানের একটা নির্বাচন ব্যাবস্থা করে যাবেন।যা আপনাকে বাংলার সমস্ত জাতী এই রাস্ট্র যতোদিন বেঁচে থাকবে ততোদিনে যেনো আপনাকে এ জাতি মনেরাখে
,S Sur,,
,Khairul Islam,,ফারুকির পদত্যাগ চাই
,আমার দেশ 24,,ফারুকীর পদত্যাগ চাই
,ANISUR RAHMAN,,
,Mohammed Emamul Haque,,সত্যি নির্লজ্জ কিছু মানুষ শেখ হাসিনাকে যারা জন্য স্বপ্ন দেখে
,eva jahan,,পিনাকী ভট্টাচার্য চাচাকে উপদেষ্টা হিসাবে চাই
,Mirza Maynul Haque,,৫ বছর চাই আপনাকে।
,Nowruz Navid Toshin,,ড. মুহাম্মদ ইউনূসের প্রতি অবিরাম ভালোবাসা আর শ্রদ্ধা
,Md Shabuddin,,"faruki,bosir,ali imam mojumder der soho aro 10 jon oposaron kore biplobe onsider der upodesta koren,apnara jonogoner kotha suner jonno hotline chalu koren"
,Satib Tv,,আঙুল আমার সোনার কানা মামা ভাল আমার মা হাসিনার জয় বাংলা জয় মা সরস্বতী পূজা উপলক্ষে আজ
,M.H Hassan,,
,it's Farhan,,ফারুকীর পদত্যাগ
,Jason Abid,,শুধু ভোটের ব্যবস্থা করেন
,Bipul Sorkar,,বাংলাদেশ জামায়াত ইসলাম কে দেখতে চাই
,MD. SHAKIB HOSSEN,,VVVVVVVVVVVV
,Mostafizur Rahman,,আপনি চলে গেলে আমরা খুশি হব
,Ahmed Jahid,,শেখ হাসিনা চাই। তোমার কাছে দেশে যে টাকা পাবে তা কই
,Laisur Rahman,,best of luck. go ahead sir
,আল-আমীন,,হাতপাখা
,Somaj sarkar,,স্বৈরাচারী হাসিনার সর্বোচ্চ শাস্তি চাই
,Abdul Ukil,,ডেনিস সরকার আরতি বছর চাই
,MD Shahadat Hossain,,জামায়াতে ইসলাম
,I like Bread,,khuni hasinar fashi hobe
,tayabur rahman,,BNP aoamilik sem jamat cai
,Robiul Islam,,বিতর্কিত উপদেষ্টাদের বহিষ্কার চাই
,Dada Vai,,গ্রামীন ব্যাংকের কেন কর অব্যাহতি নিলেন?
,BADIUZZAMAN MIRAZ,,খুনিদের বিচার হতেই হবে।
,Md Nooimohammad,,Bangladesh jamaat Islami zindabad
,Md Almanun,,আমাদের কোন লাভ হয় নাই তামিদদের প্রতি গুরুত্ব দিন
,Shuvo pigeon farm Kushtia,,আপনি আপনার বুদ্ধি দিয়ে কাজ করে যান।
,Faysal Shikari,,দ্রব্য ব্যবসায়ীদের দিক একটু নজর রাইখেন
,Everything of Islam,,i
,Around My Village,,"পিনাকী দা, আসিফ মাহমুদ স্যার, কনক সারওয়ার, ইলিয়াস হোসেন কে উপদেষ্টা পরিষদে দেখতে চাই"
,Md. Amzad Hossain,,বেসরকারি মেডিকেল ভতি খরচ কমাতে হবে।
,Satib Tv,,ইসলাম ধর্ম গ্রহণ থেকে বিরত থাকার জন্য ধন্যবাদ আমিও তোমাকে
,Azizur Azizur,,অযোগ্য উপদেষ্টা নিয়োগ করা যাবে না স্যার
,Md Babul,,"আওয়ামীলীগ মুক্ত বাংলাদেশ চাই,"
,Mahia Akter,,নবম পে স্কেল চাই।
,MD.safiqul Islam,,মাশাআল্লাহ
,Mahmudul Hasan,,ফারুকীর অপসারণ চাই
,Shahjada Towhid,,
,আল-আমীন,,হাত পাখা
,প্রবাসী সৈনিক TV,,ফেরাউন ইউনুস কে বাংগালী জাতী কনো দিন মেনে নিবে না
,Gojni Tour and Travels,,
,Tamim Hasan,,এমপিও ভুক্ত শিক্ষকদের জন্য কিছু একটা করবেন বলে আশা করি।
,Md Rezaul Islam,,ফ্যাসিস্ট হাসিনার দোসর মুক্ত প্রশাসন চাই।
,Jamaluddin PA,,"যাদেরকে দিয়ে কমিশন গঠন করা হয়েছে তাদের সম্পদের হিসাব জনগনের সামনে পেশ করতে বলুন। স্কুল, কলেজ, বিশ্ববিদ্যালয়ে ছাত্র ছাত্রীদের ক"
,Mohammad Noor,,"ড. ইউনুস স্যারের বক্তব্যে দেশবাসী ইতিবাচক দৃষ্টিতে গ্রহন করে, আশান্বিত হয় এবং ভরসা পায়।"
,crochet product and chandni vlog,,ইনশাআল্লাহ
,JIHAD'S_29,,পিনাকি ভট্টাচার্য কে উপদেষ্টা হিসেবে দেখতে চাইপিনাকি ভট্টাচার্য কে উপদেষ্টা হিসেবে দেখতে চাই
,MD jahed,,আপনি আরো ৫ বছর দেশের পরিচালনা করুন এবং দেশ থেকে ভারত এর সকল অপশক্তি কে দূর করুন
,Bismillah Digital Printing Pras. Lohagara Amirab.,,জামাত মুক্ত প্রশাসন থাকলে আপনি নিশ্চিত ভাবে থাকতে পারবেন
,Mohammed Hossain,,pinaki bhatacharya should in Advisory panel
,Latif Smabdul,,good prince in bangladesh.
,Jamil,,
,Md Shorif,,ব্যর্থ সরকার
,Mpopu,,এই প্রথমালু মার্কা উপদেষ্টা যে গুলো আছে। সে গুলো কে সরান
,Nirjhor Hasan,,cakri passi na.
,Sheikh Mubashwir,,জনগণ সংস্কার চায়। চোররা নির্বাচন চায়।
,Noman Khan,,ইসলামী ছাত্রশিবির জিন্দাবাদ
,shamima parvin,,দ্রব্য মূল্য অসহনীয়
,In front of Lina,,অনেক সুন্দর
,Everything of Islam,,—সত্য সর্বদা'ই সুন্দর..!
,alamgir mix sohel,,সচিবরাতো এখনো জায়গার মতো বসে আছে। দুর্নীতি দমন চেয়ারম্যান এখনো কেন নিয়োগ দেয়া হয়নি?
,Ripon Mondal,,বাংলাদেশ থেকে টাকা বাঁচার জীবনের তরে বন্ধ করা হোক।
,JIHAD'S_29,,পিনাকি ভট্টাচার্য কে উপদেষ্টা হিসেবে দেখতে চাই
,Afzal Hossein,,দুর্নীতি রোধে যথাযত কার্যকরী ভূমিকা দেখতে চাই |
,Shamsul Alam Mohammed,,Thank u
,Ramzanul Quadar Billah,,"হাসিনার ও আওয়ামীলীগ দ্বারা ধংস প্রাপ্ত দেশ ও দেশের অর্থনীতি কে সামাল দেয়ার ক্ষমতা এই মুহুর্তে শুধু আপনারই আছে স্যার। যে যা বলে বলুক, আপনি আপানাদের ভালো কাজ গুলো চালিয়ে যান। অনেক অনেক ধন্যবাদ"
,সহজ সমাধান (সুন্দর জীবন),,ফারুকীর পদত্যাগ চাই
,crochet product and chandni vlog,,
,Kamrun Nahar Nazneen,,go faster
,ANISUR RAHMAN,,এক মাস চলবে মনে হয় গার্মেন্টস
,Abdul Barek Duranto,,"Stop talking elections, start building reforms. The time is now! #ReformBeforeElections"
,Latifa Khatun,,jamater bisar chiy
,Shishir Ahmed,,ভূলভাল উপদেষ্টা ছড়ান
,Sahadat Hossan,,হত্য মামলার ১ নং আসামি সুদি ইউনুস
,Rahman Khalil,,বাজার সিন্ডিকেট খতম করে নিত্যপ্রয়োজনীয় জিনিসের দাম নিয়ন্ত্রনে রাখতে হবে।
,Ripon P,,স্বৈরাচারের দোসরের পদত্যাগ চাই
,Kazi Reza,,"দেশ ঘুরে দাঁড়ানোর জন্য ডঃ ইউনুসের বিকল্প বাংলাদেশে আর নাই। দরকার হলে যত বেশি সময় প্রয়োজন থাকুন,কিন্ত দেশের উন্নয়ন করুন।"
,Ali Asgaar,,bd flag
,ahmed tulu,,আপনাকে নির্বাচন করার জন্য দায়িত্ব দেয়া হয়নি। এটাতো যে কাউকে দিয়েই করা যেতো। আপনাকে অনেক আশা করে আনা হয়েছে আপনার অসামান্য মেধা দিয়ে দেশকে সত্যিকারের উন্নয়নের মহাসড়কে নিয়ে যাবেন।
,Abdur Rahman,,প্রত্যেকটা গার্মেন্টসের মালিক চোরের বড়া এ টাকা মেরে খায় শ্রমিকদের ও নিয়ম কাজ করায়
,Islamic Topic,,ফারুকী কে উপদেষ্টা থেকে ঝাড়ু দিয়ে বিদায় করেন... ফারুকী কে উপদেষ্টা থেকে ঝাড়ু দিয়ে বিদায় করেন ফারুকী কে উপদেষ্টা থেকে ঝাড়ু দিয়ে বিদায় করেন
,Lovely Handbag,,"বিএনপি আওয়ামী লীগ ভাই ভাই, সহোদর বাদ দিয়ে জামাত চাই"
,Md Sarowar Khan,,ইসলামের শাসন ব্যবস্থা করে দেন মানুষ আপনার জন্য দোয়া করবে।
