Video Time,Commenter,Time,Comment
,বাল ফেলা,,প্রবাসিদের জন্য ত কিছুই করলেন না ভাই
,ToTo MaN BD,,আফসোসলীগ
,Md Tarikul Islam Taj,,এত দুর্বল হয়ে কি দেশ চালানো যায়?? ফখরুদ্দিনের মত কঠোর হতে হবে।
,Mamun Mamun,,শেখ হাসিনার হাতে বাংলাদেশ নিরাপদ
,SITI COMPUTER,,স্যার উপদেষ্টা কিভাবে কি নিয়মে নেয়া হয় কিছুই বুঝলাম না
,ajharul islam,,পৃথিবীর ইতিহাসে কোন স্বৈরাচার ও ফ্যাসিস কখনো ফিরে আসে না আওয়ামী লীগ ও আর ফিরবে না কারণ ওরা নাস্তিক ওরা ভারতের এজেন্ট মুদির গোলাম ওরা বাংলাদেশকে ভারতের একটা অঙ্গরাজ্য বানাতে চাইছে
,Hasan vai,,sir
,Md Hsn,,স্বৈরাচার বাংলাদেশে কোন ঠাঁই নাই
,Jehad Entertainment,,জয় বাংলা জয় বঙ্গবন্ধু
,sanjoy sarker,,joy Bangla
,MD Ibrahim Hossain,,আওয়ামী লীগ দল নিষিদ্ধ করতে হবে
,Mostafa Ahasan,,হারপিকলীগ
,KASHEM KOREA,,from south Korea. salute sir
,Rubal Ahamed,,জয় বাংলা ভোট হলে এখনো ৪০% ভোট আওয়ামীলীগ পাবে
,Sojib Mirzza,,
,Mohammed Jubair,,
,Md Milon sorif,,মিথ্যাবাদী
,Movie Story,,apni jaben Kobe
,تصوير فيديو فوتوغرافية المناسبات ا,,
,motiur Rahman Roll-110,,আফসোস লীগের প্রেতাত্মাদের কোন ক্ষমা নাই
,Abc@123,,আওয়ামী সৈরাচার মুক্ত হোক বাংলাদেশ
,Md Sumon Ahamed,,কঠোন শাসন গঠন করেন।
,Duke Haris900,,"কাজের কথা বলেন স্যার ,ওইসব আবেগী কথা বাদ দেন ।"
,**আগন্তুক**,,তুমি তো মেয়াদউত্তীর্ণ
,Md Ali Hossain,,ইউনুস সরকার সবচেয়ে বড় স্বৈরাশাসক।
,PM ARAFAT CHOWDHURY,,বঙ্গবন্ধু মানে বাংলাদেশ
,MD RUBEL,,জয় বাংলা জয় বঙ্গবন্ধু জয় শেখ হাসিনার
,GANGSTER,,go ahead we are with u
,Md. Sultan Mehedi Tutul,,Good job
,বাংলাদেশ হৃদয়,,polaisere polaise hasina polaise
,𝑴𝒅.𝑺𝒂𝒌𝒉𝒂𝒘𝒂𝒕.𝑯𝒐𝒔𝒔𝒂𝒊𝒏,,
,Emu Akther,,i fuck amilig
,SHEIKH RASEL Official,,আওয়ামী লীগ
,Bby Bbu,,জয়বল্টু
,Mr. Sharif,,সাংবাদিক ইলিয়াস হোসেন ভাই কে উপদেষ্টা বানানো হোক
,Asadul Islam Akand,,জয় বাংলা জয় বঙ্গবন্ধু
,Fardin Islam,,JOY BONGOBNDHU
,Mithon Gadget & view,,জয় বাংলা ঘটি বাটি সামলা
,PM ARAFAT CHOWDHURY,,বুয়া
,H. Belal,,জামায়াত প্রেমিক
,Firo,,sr
,Hossain Masum,,হা হা
,opps,,ইউসুফ কাকু সমকামী
,Ibrahim Miah,,joy bangla
,TOM Harper,,awami lig sontrasi dol
,Md Mobin,,আমি আমার ঘর থেকে
,Siam Mahmood,,Joy Bangla tomader pison diye vhorbo
,SHEIKH RASEL Official,,জয় বাংলা
,Ruhul amin,,
,Nahid Islam official,,"ফারুকির অপসারন চাই,ফারুকির অপসারন চাই"
,Md Saka,,
,Sultan Mohammad,,
,Nachima Begum,,"যাই বলেন স্যার,দেশ নিয়ে কেউ ভাবে না। যে যায় লঙ্কায় সে হয় রাবন। ফারুকী, বশির কিভাবে উপদেষ্টা হয়??????"
,Tanvir Raihan,,ড: ইউনুস
,Asadul Hossain,,সারা আউটসোর বেতন পাচ্ছে না
,Mohammad Sumon,,গ্রামিন সরকার
,Binodon Station,,সুদিইউনুস হটাও বাংলাদেশকে বাঁচাও
,Muhammad Junayed Hussain,,Profesor Unus
,Yousuf Ali,,lige dar khob jole
,dr mamun,,জয় বাংলা
,Sathi Akter,,val cirtecho.
,Abc@123,,আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই
,Sohel Rana,,Malaysia
,md babul,,নৌকা
,Roy LX,,বাংলাদেশ ছাত্রলীগ
,Innocent,,জয় বংখভন্ডু
,Amir Khan,,ফারুকী কে বহিষ্কার করতে হবে।
,S.M JAH,,awami league
,Al imran Sabbir,,হাসিনার বিচার চাই
,dabi. niamotpur,,জয়বাংলা
,স্বাধীন বাংলাদেশ ☺️,,আপনার কথা এখন ভিটিবি তে সায়ানের গানের মতো লাগে…. বড় সাব
,Mahbub Rashid,,how many police and others died
,MD Shafiqul Islam,,BNP
,MD RUBEL,,জয় বাংলা জয় শেখ হাসিনার
,Animals Lover,,জয় বাংলা জয় বঙ্গবন্ধু
,Hossain Masum,,কোন লাভ হবে না
,World Sports,,আফসোস লীগ চলে আইছে
,PM ARAFAT CHOWDHURY,,জয় বাংলা
,Rubal Ahamed,,জয় বাংলা জয় বঙ্গবন্ধু
,Ajijul Md Ajijul,,নারে তাকবীর আল্লাহু আকবার
,MD Rakibul Hasan,,Allah apnare dirgho ayo dan kruk
,Mostafa Ahasan,,তারেক রহমান আসছে
,Atikur Rahman,,নিজে কি করছেন..?
,Lovelu Hosen,,ইনকিলাব জিন্দাবাদ।
,Rs Gaming,,জয় বাংলা
,Uzzal Hasan,,চলতে থাকুক সংস্কার।
,CK Abdur Rahman,,জয় বাংলা জয় বঙ্গবন্ধু ইনশাআল্লাহ
,Suja Khan,,"স্যার, পাঁচ বছর কমপক্ষে থাকেন স্যার, সকল সংস্কার শেষে নির্বাচন তার আগে নির্বাচন নয় স্যার, মনে রাখতে হবে এটাই জাতি গড়ার শেষ সুযোগ"
,Jihad Media Squad,,"জয় বাংলা জয় বঙ্গবন্ধু, কঠিন বিচারের জন্য প্রস্তুত হও ইউনুস"
,Raja Rangpuri,,সুন্দর সুন্দর কথা আর বিখ্যাত লোকদের সাথে ফটোসেশন বন্ধ করে দেশের সাধারণ মানুষের কথা ভাবুন।
,Sharif Hossain,,জয় বাংলা জয় বাংলা
,Hossain Masum,,কোন লাভ হবে না ব্যর্থ হয়ে গিয়েছেন
,shimul hossain,,জয় বাংলা জয় বঙ্গবল্টু
